Lat,Long,Negotiable,Area,NoofBedrooms,NoofBathrooms,FloorType,NoofBalconies,Age,Maint_sqft,Furnished,Facing,OnFloor,NooffloorsinBldg,Parking,PowerBackup,WaterSupply,HousePriceinK
19.15259847,72.84054677,Negotiable,2065,4,4,Marble/Granite,2,Newly Constructed,5.8,Unfurnished,South-West,25,45,Bike and Car,Full,Corporation,4e4
19.0235976,72.8378125,Negotiable,380,1,1,Vitrified Tiles,1,5-10 years old,3.4,Semi,East,1,7,Bike,NA,Both,13500
19.122662299999998,72.8540865,Negotiable,550,1,2,Vitrified Tiles,1,>10 years old,3.6,Semi,East,3,6,Bike and Car,Full,Corporation,12e3
19.111181,72.850157,Negotiable,1200,3,3,Vitrified Tiles,0,Newly Constructed,5.8,Unfurnished,East,4,7,Bike and Car,NA,Corporation,32100
19.1620779,72.9419882,Negotiable,1300,3,3,Vitrified Tiles,1,Newly Constructed,2.3,Unfurnished,North-East,8,40,Bike and Car,Full,Corporation,29e3
19.1098177,72.8632481,Negotiable,600,1,1,Vitrified Tiles,0,>10 years old,3.3,Semi,East,0,5,Bike and Car,None,Corporation,12e3
19.2070818,72.8769698,Non-negotiable,890,2,2,Marble/Granite,3,>10 years old,4.9,Semi,West,12,14,Car,Full,Both,13500
19.14395958,72.93074103,Negotiable,515,1,1,Vitrified Tiles,0,>10 years old,4.5,Semi,East,2,7,Bike,Full,Both,8100
18.99322243,72.83182283,Negotiable,315,1,1,Vitrified Tiles,0,>10 years old,1.6,Full,East,0,7,Bike and Car,Partial,Both,6950
19.10847142,72.88091933,Negotiable,1035,2,2,Vitrified Tiles,0,Newly Constructed,7.7,Semi,North-East,10,22,Car,Full,Corporation,24500
19.14378317,72.82466129,Negotiable,555,1,1,Vitrified Tiles,0,>10 years old,4.1,Unfurnished,North,2,7,None,None,Corporation,15e3
19.12370504,72.89540454,Negotiable,405,1,1,Marble/Granite,0,1-3 years old,7.4,Semi,East,10,22,Bike and Car,Full,Corporation,8900
19.20181457,72.8278786,Negotiable,930,2,2,Vitrified Tiles,3,>10 years old,1.6,Unfurnished,East,4,7,Bike and Car,Full,Both,13e3
