Unique ID,PostedTime,Lat,Long,SaleType,HouseType,Address,Verified,LoanVerified,Price,Negotiable,Area,Measure,MonthlyEMI,Bedrooms,Bathrooms,FloorType,Balconies,ShortAddress,Bldgtype,Age,OwnedBy,Maintanance,FloorType2,Area2,Furnished,Facing,FloorOn,Parking,PowerBackup,WaterSupply,propid,
5737,NA,19.03844261,72.86381531,Resale,"2 BHK for sale,
Dev Ashish CHS","Dev Ashish Chs, Sion East, Mumbai",Pre-verified,Loan Verified,2.5 Crores,Negotiable,933,Sq.Ft,1.94 Lacs/Month,Estimated EMI,Marble/Granite,Marble/Granite,Immediately,Dev Ashish CHS,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff8081815f48e653015f498161be3e2c,
5738,"Mar 23, 2018 8:04:47 PM",19.15688781,72.9433062,Resale,"1 RK for sale,
Apartment New Sai Ganesh","Apartment New Sai Ganesh, Near To Shree Hanuman Mandir ...",Pre-verified,Loan Verified,25 Lacs,Negotiable,250,Sq.Ft,19.43 K/Month,1 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Apartment New Sai G,Apartment,>10 years old,Self Owned,1.2 per sq.ft/m,Vitrified Tiles,250 sq.ft,Unfurnished,NA,Floor 2 / 7,Bike and Car,Full,Corporation,ff8081816251791d016251d487fe2103,
5739,"Mar 20, 2018 6:30:17 PM",19.25250189,72.85659033,Resale,"3 BHK for sale,
Jai ganga co op hsg sc l","Jai Ganga Co Op Hsg Sc Ltd, Mhatre Wadi, Near St. Louis ...",Pre-verified,Loan Verified,1.95 Crores,Non-negotiable,"1,250",Sq.Ft,1.52 Lacs/Month,3 bedrooms,2 Baths,Marble/Granite,0 Balconies,Jai ganga co op hsg,Apartment,>10 years old,Self Owned,3.0 per sq.ft/m,Marble/Granite,"1,250 sq.ft",Full,East,Floor 2 / 5,Bike and Car,NA,Corporation,ff80818162395c4d01623d76222556f0,
5740,"Mar 20, 2018 6:23:25 PM",19.20843093,72.87167807,Resale,"3 BHK for sale,
Challengers tower","Challengers Tower, Thakur Village, Near Airtel Store",Pre-verified,Loan Verified,2.51 Crores,Negotiable,"1,325",Sq.Ft,1.95 Lacs/Month,3 bedrooms,3 Baths,Marble/Granite,0 Balconies,Challengers tower,Apartment,>10 years old,Self Owned,3.7 per sq.ft/m,Marble/Granite,"1,325 sq.ft",Semi,East,Floor 12 / 29,Car,NA,Both,ff80818162344601016239039ee35fa2,
5741,"Mar 20, 2018 5:39:55 PM",18.95807528,72.83602482,Resale,"1 BHK for sale,
Good luck Building","Good Luck Building, Hazrat Abbas Rd, Near Kgn Hotel",Pre-verified,Loan Verified,85 Lacs,Negotiable,500,Sq.Ft,66.07 K/Month,1 bedrooms,2 Baths,Marble/Granite,1 Balcony,Good luck Building,Apartment,>10 years old,Self Owned,1.0 per sq.ft/m,Marble/Granite,500 sq.ft,Unfurnished,NA,Floor 2 / 5,None,Full,Corporation,ff808181624161650162422ad89f2289,
5742,"Mar 20, 2018 4:54:48 PM",19.19782132,72.79970634,Resale,"1 RK for sale,
Independent house","Independent House, Madh - Marve Rd, Near Flag's Lawn",Pre-verified,Loan Verified,28.5 Lacs,Negotiable,250,Sq.Ft,22.15 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,Independent house,Independent House/Villa,>10 years old,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,250 sq.ft,Unfurnished,East,Floor 0 / 0,None,NA,Corporation,ff808181620eb34b016213cc2bc234eb,
5743,"Mar 23, 2018 4:36:16 PM",18.95193378,72.82547099,Resale,"3 BHK for sale,
mehta towers","Mehta Towers, Fanas Wadi , Near Balaji Mandir",Pre-verified,Loan Verified,3.69 Crores,Non-negotiable,"1,340",Sq.Ft,2.87 Lacs/Month,3 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,mehta towers,Apartment,Under Construction,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,"1,340 sq.ft",Semi,East,Floor 16 / 22,Bike and Car,NA,Both,ff808181624738d10162480cec6f41db,
5744,"Mar 20, 2018 3:20:16 PM",19.13912776,72.86868332,Resale,"1 BHK for sale,
greenfield CHS","Greenfield Chs, Poonam Nagar, Near Avillion Green Field ...",Pre-verified,Loan Verified,1 Crore,Non-negotiable,520,Sq.Ft,77.73 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,greenfield CHS,Apartment,Newly Constructed,Self Owned,3.8 per sq.ft/m,Vitrified Tiles,520 sq.ft,Semi,West,Floor 5 / 7,Bike and Car,NA,Corporation,ff80818161e136ab0161e156f9280f3a,
5745,"Mar 23, 2018 2:28:49 PM",19.11002238,72.84657717,Resale,"3 BHK for sale,
undisclosed","Undisclosed, Navpada, Near Chamunda Paradise",Pre-verified,Loan Verified,11.25 Crores,Negotiable,"3,000",Sq.Ft,8.74 Lacs/Month,3 bedrooms,3 Baths,Vitrified Tiles,3 Balconies,undisclosed,Apartment,1-3 years old,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,"3,000 sq.ft",Unfurnished,North,Floor 15 / 18,Bike and Car,NA,Both,ff8081816251791d0162518e489c08b2,
5746,"Mar 20, 2018 2:08:16 PM",19.21684784,72.84111118,Resale,"2 BHK for sale,
Shree Palace, Satya Naga","Shree Palace, Satya Nagar, Satya Nagar Near Bikeshark - ...",Pre-verified,Loan Verified,1.75 Crores,Negotiable,840,Sq.Ft,1.36 Lacs/Month,2 bedrooms,2 Baths,Wooden,0 Balconies,"Shree Palace, Satya",Apartment,>10 years old,Self Owned,3.5 per sq.ft/m,Wooden,840 sq.ft,Semi,North,Floor 2 / 6,Bike and Car,NA,Both,ff808181622f11e901622f84acbc174a,
5747,"Mar 20, 2018 1:56:58 PM",19.10248707,72.83807906,Resale,"1 BHK for sale,
A H Heritage","A H Heritage, Indira Nagar, Near Puranmal Foods",Pre-verified,Loan Verified,1.3 Crores,Negotiable,350,Sq.Ft,1.01 Lacs/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,A H Heritage,Apartment,>10 years old,Self Owned,6.3 per sq.ft/m,Vitrified Tiles,350 sq.ft,Semi,NA,Floor 1 / 8,None,Full,Corporation,ff808181623e3b0801623e8630bd278d,
